City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Atuona,-9.8,-139.0333,77.23,80,29,14.54,PF,light rain
1,Cape Town,-33.9258,18.4232,69.12,74,0,8.01,ZA,clear sky
2,Castro,-24.7911,-50.0119,60.46,98,100,5.75,BR,overcast clouds
3,Linxia,35.6003,103.2064,8.04,84,23,2.62,CN,few clouds
4,Butaritari,3.0707,172.7902,81.7,77,25,19.64,KI,light rain
5,Albany,42.6001,-73.9662,14.81,64,100,10.0,US,overcast clouds
6,Port Elizabeth,-33.918,25.5701,69.1,77,75,11.5,ZA,broken clouds
7,Mahebourg,-20.4081,57.7,80.89,78,40,8.05,MU,scattered clouds
8,Pitimbu,-7.4706,-34.8086,82.99,74,83,7.07,BR,light rain
9,Norden,53.6,7.2,46.96,71,9,36.53,DE,clear sky
10,San Policarpo,12.1791,125.5072,78.96,84,22,4.94,PH,few clouds
11,Vestmannaeyjar,63.4427,-20.2734,40.28,67,100,18.39,IS,overcast clouds
12,Balkanabat,39.5108,54.3671,42.03,61,5,5.68,TM,clear sky
13,Bethel,41.3712,-73.414,16.75,78,100,7.0,US,snow
14,Viedma,-40.8135,-62.9967,96.44,22,47,12.03,AR,scattered clouds
15,Barrow,71.2906,-156.7887,-7.58,71,100,12.66,US,overcast clouds
16,Praia Da Vitoria,38.7333,-27.0667,59.76,88,75,10.85,PT,broken clouds
17,Qaanaaq,77.484,-69.3632,-4.97,62,100,8.93,GL,overcast clouds
18,Muhos,64.808,25.9931,26.38,97,100,7.2,FI,light snow
19,Busselton,-33.65,115.3333,67.05,91,2,15.19,AU,clear sky
20,Siniscola,40.5719,9.6922,40.55,54,2,5.03,IT,clear sky
21,Svetlogorsk,52.6333,29.7333,22.23,95,96,10.49,BY,overcast clouds
22,Kapaa,22.0752,-159.319,77.32,79,100,1.01,US,overcast clouds
23,San Cristobal,7.7669,-72.225,80.78,38,6,8.88,VE,clear sky
24,Naze,28.3667,129.4833,56.97,78,100,13.29,JP,overcast clouds
25,Hermanus,-34.4187,19.2345,66.79,75,2,14.29,ZA,clear sky
26,Upernavik,72.7868,-56.1549,1.89,93,100,5.35,GL,overcast clouds
27,Panzhihua,26.5851,101.7128,42.89,54,0,1.45,CN,clear sky
28,Touros,-5.1989,-35.4608,83.3,73,100,10.27,BR,overcast clouds
29,Rikitea,-23.1203,-134.9692,77.32,74,100,11.43,PF,overcast clouds
30,Bluff,-46.6,168.3333,61.81,89,100,6.62,NZ,overcast clouds
31,Victoria,22.2855,114.1577,62.26,82,100,1.01,HK,overcast clouds
32,Yumen,40.2833,97.2,14.58,60,0,5.5,CN,clear sky
33,Seoul,37.5683,126.9778,20.64,67,0,3.44,KR,clear sky
34,Marzuq,14.4,46.4667,62.42,77,10,4.65,YE,clear sky
35,Shelburne,44.0787,-80.2041,13.12,44,0,6.15,CA,clear sky
36,Kruisfontein,-34.0033,24.7314,66.88,86,0,6.64,ZA,clear sky
37,Avarua,-21.2078,-159.775,80.65,83,40,10.36,CK,scattered clouds
38,Cabo San Lucas,22.8909,-109.9124,79.9,59,0,5.01,MX,clear sky
39,Ornskoldsvik,63.2909,18.7153,31.82,100,100,8.05,SE,light snow
40,Kyra,49.5776,111.9753,-9.26,95,5,4.83,RU,clear sky
41,Ushuaia,-54.8,-68.3,49.66,87,100,20.71,AR,light rain
42,Saskylakh,71.9167,114.0833,-22.13,99,99,3.42,RU,overcast clouds
43,Lata,40.1629,-8.3327,57.61,51,0,5.06,PT,clear sky
