City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.23,light rain,-9.8,-139.0333,Villa Enata
1,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,Castro,BR,60.46,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Port Elizabeth,ZA,69.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
7,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Pitimbu,BR,82.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
9,Norden,DE,46.96,clear sky,53.6,7.2,Stadthotel Restaurant Smutje
10,San Policarpo,PH,78.96,few clouds,12.1791,125.5072,Agapita M. Nicart
11,Vestmannaeyjar,IS,40.28,overcast clouds,63.4427,-20.2734,Glamping & Camping
12,Balkanabat,TM,42.03,clear sky,39.5108,54.3671,Nebitchi Hotel
16,Praia Da Vitoria,PT,59.76,broken clouds,38.7333,-27.0667,Hotel Branco I
19,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
20,Siniscola,IT,40.55,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
22,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Posada Villaven C.A.
24,Naze,JP,56.97,overcast clouds,28.3667,129.4833,Shishime Hotel
25,Hermanus,ZA,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Panzhihua,CN,42.89,clear sky,26.5851,101.7128,Electric Power Hotel
28,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
29,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Bluff,NZ,61.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
31,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
36,Kruisfontein,ZA,66.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
37,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
38,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Ushuaia,AR,49.66,light rain,-54.8,-68.3,Albatross Hotel
43,Lata,PT,57.61,clear sky,40.1629,-8.3327,Casa Maquia
44,Chuy,UY,75.65,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
45,Vaini,TO,81.45,light rain,-21.2,-175.2,Keleti Beach Resort
46,Caxambu,BR,72.59,broken clouds,-21.9772,-44.9325,Hotel Lopes
47,Port Alfred,ZA,70.25,scattered clouds,-33.5906,26.891,The Halyards Hotel
49,Kutum,SD,56.66,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
50,New Norfolk,AU,58.71,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
51,Tuatapere,NZ,61.83,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
53,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Aguadilla,PR,84.34,clear sky,18.4275,-67.1541,WSSM Surf House
55,Yanam,IN,65.3,light rain,16.7333,82.2167,The Regency Hotel
56,Punta Arenas,CL,55.51,broken clouds,-53.15,-70.9167,Hotel Hain
57,De Aar,ZA,79.61,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
58,Namibe,AO,72.39,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
59,Midland,US,58.05,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
61,Mataura,NZ,61.48,light rain,-46.1927,168.8643,Ellie's Villa
63,Waingapu,ID,78.28,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
64,Hobart,AU,59.05,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
65,Capaci,IT,53.2,clear sky,38.1711,13.2393,Hotel Sirenetta
66,Kerman,IR,48.06,clear sky,30.2832,57.0788,هتل آپارتمان آسام
67,Bodden Town,KY,81.0,broken clouds,19.2833,-81.25,Will T Place
69,Atar,MR,77.54,overcast clouds,20.5169,-13.0499,Oumou Elghoura
70,Crato,BR,82.11,broken clouds,-7.2342,-39.4094,"Loft no Centro do Crato, ao lado da Praça da Sé"
72,East London,ZA,71.87,broken clouds,-33.0153,27.9116,Tu Casa
73,Masterton,NZ,63.97,few clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
74,Enid,US,61.3,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
76,Vao,NC,78.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
77,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Saldanha,ZA,69.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
79,Mannargudi,IN,74.71,overcast clouds,10.6667,79.4333,MANNAI GRAND INN
81,Chapeco,BR,69.55,overcast clouds,-27.0964,-52.6183,Golden Hotel
82,Ribeira Grande,PT,61.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
83,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Mackay,AU,74.68,few clouds,-21.15,149.2,International Lodge Motel
85,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
88,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
90,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
91,Mazamari,PE,86.97,moderate rain,-11.3258,-74.5308,Hospedaje Ratto
93,Biaora,IN,56.86,clear sky,23.8667,76.9167,SARPANCH MOTEL HOTEL
96,Takoradi,GH,80.42,few clouds,4.8845,-1.7554,Raybow International Hotel
97,Padang,ID,76.91,light rain,-0.9492,100.3543,Mercure Padang
99,Lingao,CN,60.31,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
101,Bandar-E Lengeh,IR,69.03,clear sky,26.5579,54.8807,کافی نت پارس
102,Pasighat,IN,50.65,clear sky,28.0667,95.3333,Siang Guest House
104,Hilo,US,74.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
105,Makamba,BI,62.08,broken clouds,-4.1348,29.804,Inanzerwe Hotel
107,Visby,SE,44.82,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
108,Havelock,US,40.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
111,Pedernales,DO,79.12,scattered clouds,18.0384,-71.744,Hotel Costa Marina
113,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Uttiramerur,IN,76.44,overcast clouds,12.6,79.7667,Ramesh lodge
116,Los Llanos De Aridane,ES,62.35,few clouds,28.6585,-17.9182,Valle Aridane
118,Conceicao Do Araguaia,BR,78.6,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
122,Steenwijk,NL,48.15,broken clouds,52.7875,6.1208,Fletcher Hotel-Restaurant Steenwijk
123,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
125,Palora,EC,82.38,overcast clouds,-1.7,-77.9333,Rancho grande
126,Lebu,CL,64.96,clear sky,-37.6167,-73.65,Hostal Las Lilas
128,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
129,Kagadi,UG,67.96,broken clouds,0.9606,30.7967,ADNEC MOTEL
130,Cariati,IT,46.15,few clouds,39.4922,16.9594,La Residenza
131,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
132,Bow Island,CA,50.18,overcast clouds,49.8668,-111.3684,Silver Sage Motel
133,Pacific Grove,US,62.96,clear sky,36.6177,-121.9166,Lovers Point Inn
134,Ketchikan,US,45.07,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
136,Sawtell,AU,69.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
137,Marawi,PH,66.65,broken clouds,7.9986,124.2928,Derogongan Residence
139,Arraial Do Cabo,BR,84.16,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
141,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
142,Oro Valley,US,69.4,few clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
143,Codrington,AU,62.04,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
144,Maues,BR,76.62,overcast clouds,-3.3836,-57.7186,Hotel Miramar
145,Portland,US,49.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
148,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hostel Del Puerto
149,Puno,PE,60.37,broken clouds,-15.8333,-70.0333,Hotel Hacienda Plaza De Armas - Puno
150,Siyabuswa,ZA,69.75,overcast clouds,-25.1132,29.0445,Survivor Africa Game Lodge
152,Garowe,SO,68.68,overcast clouds,8.4054,48.4845,Curubo Hotel
155,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
156,Cidreira,BR,74.52,broken clouds,-30.1811,-50.2056,Hotel Castelo
157,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
160,Ranfurly,NZ,51.64,overcast clouds,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
163,Constitucion,CL,65.84,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
164,Sao Filipe,CV,71.11,overcast clouds,14.8961,-24.4956,Hotel Xaguate
165,Camacha,PT,61.56,clear sky,33.0833,-16.3333,Hotel Porto Santo & Spa
166,Muli,MV,81.68,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
167,Killybegs,IE,44.31,overcast clouds,54.6333,-8.45,Tara Hotel
168,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
172,Tabas,IR,46.83,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
173,Floresta,BR,72.36,overcast clouds,-8.6011,-38.5686,Hotel Floresta
175,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
176,Houston,US,65.05,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
179,Tahta,EG,51.19,clear sky,26.7693,31.5021,shady waheed
180,Sabha,LY,50.5,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
181,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
