City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Manado,1.487,124.8455,90.37,58,20,3.44,ID,2022-01-26 01:35:13
1,Esperance,-33.8667,121.9,69.64,75,89,13.33,AU,2022-01-26 01:35:14
2,Sinnamary,5.3833,-52.95,76.23,87,71,9.06,GF,2022-01-26 01:35:14
3,Arraial Do Cabo,-22.9661,-42.0278,75.72,90,0,17.85,BR,2022-01-26 01:34:39
4,Mar Del Plata,-38.0023,-57.5575,76.08,98,100,11.01,AR,2022-01-26 01:31:46
5,Burnie,-41.0667,145.9167,74.95,65,41,12.44,AU,2022-01-26 01:35:15
6,Bolobo,-2.1667,16.2333,72.34,91,99,3.74,CD,2022-01-26 01:35:15
7,Kodiak,57.79,-152.4072,31.51,51,0,8.05,US,2022-01-26 01:35:16
8,Jamestown,42.097,-79.2353,18.72,85,100,5.75,US,2022-01-26 01:32:35
9,Shimoda,34.6667,138.95,46.76,73,100,6.42,JP,2022-01-26 01:35:16
10,Mataura,-46.1927,168.8643,56.48,97,100,3.58,NZ,2022-01-26 01:35:17
11,Oudewater,52.025,4.8681,39.25,82,100,1.01,NL,2022-01-26 01:35:17
12,Hobart,-42.8794,147.3294,67.01,72,75,1.99,AU,2022-01-26 01:34:09
13,Biu,10.6129,12.1946,60.91,20,12,9.64,NG,2022-01-26 01:35:18
14,Yellowknife,62.456,-114.3525,1.42,89,75,14.97,CA,2022-01-26 01:30:27
15,Hilo,19.7297,-155.09,78.53,69,100,6.91,US,2022-01-26 01:30:54
16,Isangel,-19.55,169.2667,85.96,70,14,4.9,VU,2022-01-26 01:34:08
17,Ribeira Grande,38.5167,-28.7,59.88,79,100,6.8,PT,2022-01-26 01:35:18
18,Verkhnyaya Inta,65.9811,60.3094,18.82,83,100,19.17,RU,2022-01-26 01:35:19
19,Tautira,-17.7333,-149.15,87.82,77,66,14.7,PF,2022-01-26 01:35:19
20,Kismayo,-0.3582,42.5454,77.23,78,52,19.24,SO,2022-01-26 01:35:20
21,Half Moon Bay,37.4636,-122.4286,60.44,78,0,1.01,US,2022-01-26 01:30:27
22,Merauke,-8.4667,140.3333,85.32,69,99,5.68,ID,2022-01-26 01:35:20
23,Birobidzhan,48.8,132.95,2.84,91,100,1.7,RU,2022-01-26 01:35:21
24,Tuktoyaktuk,69.4541,-133.0374,15.8,92,100,42.57,CA,2022-01-26 01:35:21
25,Ancud,-41.8697,-73.8203,57.42,84,0,1.86,CL,2022-01-26 01:35:21
26,Tetouan,35.5711,-5.3724,57.99,88,98,16.11,MA,2022-01-26 01:35:22
27,Busselton,-33.65,115.3333,72.27,48,20,9.91,AU,2022-01-26 01:35:22
28,Rikitea,-23.1203,-134.9692,78.28,76,100,15.88,PF,2022-01-26 01:35:23
29,Perevolotskiy,51.8763,54.1938,-1.34,100,100,6.4,RU,2022-01-26 01:35:23
30,Taywarah,33.35,64.4167,3.78,39,0,5.84,AF,2022-01-26 01:35:23
31,Albany,42.6001,-73.9662,23.58,73,11,6.91,US,2022-01-26 01:30:46
32,Beloha,-25.1667,45.05,67.14,72,0,8.43,MG,2022-01-26 01:35:24
33,Noumea,-22.2763,166.4572,85.98,99,85,10.83,NC,2022-01-26 01:35:24
34,Laguna,38.421,-121.4238,59.14,66,0,3.0,US,2022-01-26 01:35:25
35,Punta Arenas,-53.15,-70.9167,46.51,57,0,14.97,CL,2022-01-26 01:33:56
36,Faanui,-16.4833,-151.75,81.07,76,85,13.38,PF,2022-01-26 01:35:25
37,Ushuaia,-54.8,-68.3,42.46,75,75,27.63,AR,2022-01-26 01:34:15
38,Thompson,55.7435,-97.8558,-7.44,71,75,10.36,CA,2022-01-26 01:31:34
39,Comodoro Rivadavia,-45.8667,-67.5,57.06,77,0,6.91,AR,2022-01-26 01:35:26
40,Butaritari,3.0707,172.7902,82.15,79,42,16.58,KI,2022-01-26 01:35:27
41,Sao Filipe,14.8961,-24.4956,75.83,60,2,10.8,CV,2022-01-26 01:35:27
42,Barrow,71.2906,-156.7887,-5.78,77,75,21.85,US,2022-01-26 01:35:28
43,Petropavlovsk-Kamchatskiy,53.0452,158.6483,7.39,61,0,8.95,RU,2022-01-26 01:35:28
44,Saint-Philippe,-21.3585,55.7679,72.99,67,97,10.67,RE,2022-01-26 01:36:28
45,Nanortalik,60.1432,-45.2371,26.67,94,100,7.05,GL,2022-01-26 01:36:29
46,Carballo,43.213,-8.691,43.68,93,4,3.13,ES,2022-01-26 01:36:29
47,Castro,-24.7911,-50.0119,64.83,79,5,4.29,BR,2022-01-26 01:36:30
48,Kaniama,-7.5667,24.1833,66.45,97,100,2.37,CD,2022-01-26 01:36:30
